iter	Passed	Remaining
569	734	553
570	734	552
571	735	550
572	736	548
573	737	547
574	738	545
575	739	544
576	740	542
577	741	541
578	742	539
579	743	538
580	743	536
581	744	534
582	745	533
583	746	531
584	747	530
585	748	528
586	749	527
587	749	525
588	750	523
589	751	522
590	752	520
591	753	519
592	754	518
593	755	516
594	756	514
595	757	513
596	758	511
597	758	510
598	759	508
599	760	507
600	761	505
601	762	503
602	763	502
603	763	500
604	764	499
605	765	497
606	766	496
607	767	494
608	768	493
609	768	491
610	769	490
611	770	488
612	771	487
613	772	485
614	773	484
615	774	482
616	775	481
617	776	479
618	776	478
619	777	476
620	778	475
621	779	473
622	780	472
623	780	470
624	781	469
625	782	467
626	784	466
627	784	464
628	785	463
629	786	461
630	787	460
631	788	458
632	788	457
633	789	456
634	790	454
635	791	453
636	792	451
637	793	449
638	793	448
639	794	446
640	795	445
641	796	443
642	796	442
643	797	440
644	798	439
645	799	438
646	800	436
647	801	435
648	801	433
649	802	432
650	803	430
651	804	429
652	804	427
653	805	426
654	806	424
655	807	423
656	807	421
657	808	420
658	809	418
659	810	417
660	810	415
661	811	414
662	812	412
663	813	411
664	814	410
665	815	409
666	816	407
667	817	406
668	818	404
669	819	403
670	820	402
671	821	400
672	821	399
673	822	397
674	823	396
675	824	395
676	825	393
677	825	392
678	826	390
679	827	389
680	828	388
681	829	386
682	830	385
683	831	383
684	832	382
685	833	381
686	835	380
687	835	379
688	836	377
689	837	376
690	838	374
691	839	373
692	839	372
693	840	370
694	841	369
695	842	367
696	843	366
697	844	365
698	844	363
699	845	362
700	846	361
701	847	359
702	848	358
703	848	356
704	849	355
705	850	354
706	851	352
707	852	351
708	853	350
709	853	348
710	854	347
711	855	346
712	856	344
713	857	343
714	858	342
715	860	341
716	861	339
717	861	338
718	862	337
719	863	335
720	864	334
721	865	333
722	866	331
723	867	330
724	868	329
725	869	327
726	869	326
727	870	325
728	871	323
729	872	322
730	873	321
731	874	320
732	875	318
733	876	317
734	877	316
735	878	314
736	878	313
737	879	312
738	880	311
739	881	309
740	882	308
741	883	307
742	884	305
743	885	304
744	885	303
745	886	301
746	888	300
747	889	299
748	890	298
749	891	297
750	892	295
751	893	294
752	893	293
753	894	291
754	895	290
755	896	289
756	897	288
757	898	286
758	899	285
759	900	284
760	901	283
761	902	281
762	903	280
763	904	279
764	905	278
765	906	276
766	907	275
767	907	274
768	908	272
769	909	271
770	910	270
771	911	269
772	912	267
773	912	266
774	913	265
775	914	264
776	915	262
777	916	261
778	917	260
779	919	259
780	920	258
781	922	257
782	923	256
783	925	254
784	926	253
785	927	252
786	928	251
787	929	250
788	933	249
789	936	248
790	937	247
791	938	246
792	939	245
793	940	244
794	942	242
795	942	241
796	943	240
797	944	239
798	945	237
799	946	236
800	947	235
801	950	234
802	951	233
803	952	232
804	953	231
805	954	229
806	955	228
807	956	227
808	958	226
809	959	225
810	960	223
811	962	222
812	964	221
813	965	220
814	966	219
815	967	218
816	969	217
817	970	215
818	971	214
819	972	213
820	973	212
821	974	210
822	975	209
823	976	208
824	977	207
825	978	206
826	979	204
827	980	203
828	981	202
829	982	201
830	983	200
831	984	198
832	985	197
833	986	196
834	987	195
835	988	193
836	989	192
837	990	191
838	991	190
839	992	189
840	994	187
841	995	186
842	996	185
843	997	184
844	998	183
845	999	181
846	1001	180
847	1001	179
848	1002	178
849	1003	177
850	1004	175
851	1005	174
852	1007	173
853	1008	172
854	1009	171
855	1010	169
856	1011	168
857	1011	167
858	1012	166
859	1013	164
860	1014	163
861	1015	162
862	1016	161
863	1017	160
864	1017	158
865	1018	157
866	1019	156
867	1021	155
868	1022	154
869	1023	152
870	1024	151
871	1025	150
872	1026	149
873	1027	148
874	1028	146
875	1029	145
876	1030	144
877	1030	143
878	1031	142
879	1032	140
880	1033	139
881	1034	138
882	1035	137
883	1037	136
884	1038	134
885	1039	133
886	1040	132
887	1041	131
888	1042	130
889	1043	128
890	1044	127
891	1045	126
892	1046	125
893	1047	124
894	1047	122
895	1048	121
896	1049	120
897	1052	119
898	1054	118
899	1055	117
900	1056	116
901	1056	114
902	1057	113
903	1058	112
904	1059	111
905	1060	109
906	1060	108
907	1061	107
908	1062	106
909	1063	105
910	1064	103
911	1065	102
912	1066	101
913	1067	100
914	1068	99
915	1069	98
916	1069	96
917	1070	95
918	1071	94
919	1072	93
920	1073	92
921	1074	90
922	1075	89
923	1076	88
924	1077	87
925	1077	86
926	1078	84
927	1079	83
928	1080	82
929	1081	81
930	1082	80
931	1083	79
932	1084	77
933	1084	76
934	1085	75
935	1086	74
936	1087	73
937	1088	71
938	1089	70
939	1090	69
940	1091	68
941	1092	67
942	1092	66
943	1093	64
944	1094	63
945	1095	62
946	1096	61
947	1097	60
948	1098	59
949	1099	57
950	1100	56
951	1101	55
952	1102	54
953	1103	53
954	1104	52
955	1105	50
956	1106	49
957	1107	48
958	1108	47
959	1109	46
960	1110	45
961	1111	43
962	1112	42
963	1113	41
964	1114	40
965	1115	39
966	1115	38
967	1117	36
968	1118	35
969	1119	34
970	1120	33
971	1121	32
972	1122	31
973	1123	29
974	1124	28
975	1126	27
976	1127	26
977	1129	25
978	1129	24
979	1130	23
980	1131	21
981	1132	20
982	1132	19
983	1133	18
984	1134	17
985	1135	16
986	1136	14
987	1136	13
988	1137	12
989	1138	11
990	1139	10
991	1141	9
992	1141	8
993	1142	6
994	1143	5
995	1144	4
996	1145	3
997	1146	2
998	1147	1
999	1148	0
